
[Name]
fsi

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-3.68831277e+000, -4.54369426e-001, 2.15293518e+002, -1.90543555e+003
-3.76222968e+000, -9.26495612e-001, 2.15299622e+002, -1.12790955e+003
-3.63505244e+000, -1.25483227e+000, 2.15276749e+002, -6.87589661e+002
-3.50900865e+000, -8.83212090e-001, 2.15178192e+002, -9.23422241e+002
-3.46923470e+000, -6.58397341e+000, 2.14715530e+002, 2.42436005e+002
-2.19564390e+000, 3.14407501e+001, 2.14865936e+002, 7.81784546e+002
-2.16425920e+000, 3.18785839e+001, 2.15139175e+002, 4.64643677e+002
-2.18895698e+000, 3.14132843e+001, 2.15149872e+002, -3.28088715e+002
-2.15237308e+000, 3.18522396e+001, 2.14837875e+002, 5.20580200e+002
-1.87912452e+000, 3.15544376e+001, 2.14702744e+002, -1.52497180e+003
1.97164309e+000, 1.66282940e+001, 2.40383331e+002, -6.77749329e+002
2.27274561e+000, 1.66141701e+001, 2.40540466e+002, -1.73387598e+003
2.11646128e+000, 1.61573544e+001, 2.40600754e+002, -1.20516589e+003
2.28464222e+000, -1.77671890e+001, 2.47346375e+002, -5.06600311e+002
2.33050156e+000, -1.74674416e+001, 2.47312729e+002, -4.26143463e+002
2.24751449e+000, -1.76422901e+001, 2.47231064e+002, -2.87293762e+002
2.27639651e+000, -1.73924751e+001, 2.47160568e+002, -5.40934570e+002
2.36437702e+000, -1.70393085e+001, 2.47296295e+002, -3.40695343e+002
-2.17244434e+000, 1.90309677e+001, 2.37318207e+002, 1.29586304e+003
-2.28887153e+000, 1.86716957e+001, 2.37550934e+002, 6.35505676e+002
-2.12703538e+000, 1.83829536e+001, 2.37254562e+002, 2.80588623e+002
-1.83035910e+000, -1.74986534e+001, 2.37621902e+002, 2.01121311e+001
-1.90391779e+000, -1.79919205e+001, 2.37295441e+002, -9.44254272e+002
-1.74089539e+000, -1.82176704e+001, 2.37567932e+002, -4.02804169e+002
-1.67986536e+000, -1.92859268e+001, 2.39353577e+002, 2.45127167e+002
-1.70628631e+000, -1.97371407e+001, 2.39180435e+002, 4.89347351e+002
-1.59053183e+000, -1.95192528e+001, 2.39542267e+002, 4.58981689e+002
7.04718924e+000, -8.33999536e-013, 1.59443283e+002, -7.54385559e+002
7.04739046e+000, 4.74634796e-001, 1.59459412e+002, -7.70162842e+002
6.91630507e+000, -8.33999536e-013, 1.59207993e+002, 1.89520599e+002
1.43671691e+000, -2.49633579e+001, 2.49365829e+002, 6.19217590e+002
1.09796357e+000, -2.48601665e+001, 2.49283279e+002, 1.40393311e+003
1.50493753e+000, -2.44646950e+001, 2.49288162e+002, 4.15679108e+002
3.62553263e+000, 7.28841352e+000, 2.42683975e+002, -1.08323291e+003
3.37594223e+000, 7.23488188e+000, 2.42923065e+002, -9.19326294e+002
3.56120849e+000, 7.73191071e+000, 2.42609177e+002, -1.21158716e+003
1.95791018e+000, -1.85469666e+001, 3.22962074e+001, 2.14211011e+003
2.27076769e+000, -1.83318176e+001, 3.22482185e+001, 2.17220239e+003
2.50421357e+000, -1.85239639e+001, 3.22990074e+001, 2.18503589e+003
2.51610947e+000, -1.82324810e+001, 3.21356087e+001, 2.23064966e+003
1.96433043e+000, -1.82561684e+001, 3.21747360e+001, 2.31318726e+003
2.25805497e+000, -1.82158852e+001, 3.20961876e+001, 2.28140894e+003
2.20675778e+000, -1.84177151e+001, 2.44434036e+002, 1.45256319e+001
1.95914829e+000, -1.88127899e+001, 2.44477112e+002, 8.79630859e+002
2.13785267e+000, -1.91046810e+001, 2.44824295e+002, -1.36002670e+002
2.13895226e+000, -1.80205460e+001, 2.44135666e+002, 7.19527466e+002
1.98503447e+000, -1.84992046e+001, 2.44339401e+002, 1.20379614e+003
-3.73386741e+000, 5.81303930e+000, 2.22282303e+002, 8.96402161e+002
3.22468472e+000, 9.65188789e+000, 2.45253677e+002, -1.03293726e+003
3.18716502e+000, 9.32836819e+000, 2.45239655e+002, -1.06349548e+003
3.25649500e+000, 9.54222202e+000, 2.45046814e+002, -1.24555457e+003
-2.13628316e+000, -1.87062263e+001, 2.44496918e+002, 2.16644434e+003
3.55066514e+000, -6.57049465e+000, 2.42510330e+002, -5.36669556e+002
3.53257251e+000, -6.16272068e+000, 2.42587875e+002, -5.87417480e+002
3.23560810e+000, -6.35719776e+000, 2.42606674e+002, 1.26065015e+003
3.74268150e+000, -5.53860378e+000, 2.42823425e+002, -5.44395691e+002
3.47556043e+000, -5.83584356e+000, 2.42661591e+002, 3.10029999e+002
