[CoordFrame]
Coordinate Frame 1
Option = Axis Points
Coord Frame Type = Cartesian
Origin Point = -70.71 [m], -70.71 [m], 0 [m]
Axis 3 Point = -70.71 [m], -70.71 [m], 1 [m]
Plane 13 Point = 0 [m], -70.71 [m], 0 [m]
Reference Coord Frame = Coord 0

[Name]
fsi

[Reference CoordFrame]
Coordinate Frame 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
6.34075165e+000, 5.86084747e+000, 1.62318253e+002, -1.60033826e+003
-6.45156860e+000, 1.42845154e+000, 1.59504456e+002, -1.17879280e+002
-6.53284454e+000, 2.09761047e+000, 1.59665451e+002, 2.80620270e+002
-6.53590393e+000, 1.84687805e+000, 1.59243301e+002, 1.35873383e+002
-2.80102539e+000, 1.08422890e+001, 2.37495529e+002, 1.07020790e+002
-2.81300354e+000, 1.16147499e+001, 2.37450333e+002, 7.12126282e+002
2.07415771e+000, 1.57671623e+001, 2.40277603e+002, 9.54336609e+002
2.00413513e+000, 1.59924622e+001, 2.40348389e+002, 3.34314575e+002
2.32902527e+000, 1.56332245e+001, 2.40790375e+002, 1.00928253e+002
1.93660736e+000, 1.65593948e+001, 2.40265579e+002, 6.17961487e+002
2.14363861e+000, 1.61184807e+001, 2.40083603e+002, 5.15948486e+002
2.72195435e+000, 1.17561607e+001, 2.45553268e+002, 9.27740479e+002
