[CoordFrame]
Coordinate Frame 1
Option = Axis Points
Coord Frame Type = Cartesian
Origin Point = -86.603 [m], -50 [m], 0 [m]
Axis 3 Point = -86.603 [m], -50 [m], 1 [m]
Plane 13 Point = -86 [m], -50 [m], 1 [m]
Reference Coord Frame = Coord 0

[Name]
fsi

[Reference CoordFrame]
Coordinate Frame 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-1.15882111e+000, 2.41766834e+001, 2.49124771e+002, -7.31353516e+002
-1.98626709e+000, -2.03337250e+001, 2.45304794e+002, 1.59485217e+003
-1.89260101e+000, -2.09230499e+001, 2.45507599e+002, 1.70913025e+003
1.61467743e+000, -2.31904984e+001, 2.46500122e+002, -5.44811035e+002
1.61344910e+000, -2.28780441e+001, 2.46668259e+002, 1.76474869e+002
1.64214325e+000, -2.28611145e+001, 2.46339661e+002, 2.40698242e+002
3.49818420e+000, -7.46413803e+000, 2.15299667e+002, 1.72335114e+002
-3.25110626e+000, -5.17647171e+000, 1.84136551e+002, 5.35456116e+002
-3.53856659e+000, -5.35088348e+000, 1.84195190e+002, -5.45280029e+002
-2.91628265e+000, -5.38295364e+000, 1.84222626e+002, -4.61767914e+002
-2.98262787e+000, -4.96316528e+000, 1.84221832e+002, 1.61018201e+003
8.72682953e+000, 7.25927734e+000, 1.29634384e+002, -3.46670319e+002
8.87253571e+000, 7.40798187e+000, 1.29765381e+002, -3.00592041e+001
8.74497223e+000, 7.69383240e+000, 1.29642685e+002, -5.21106339e+001
-4.35188293e+000, 8.82859421e+000, 1.29705246e+002, 1.68562598e+003
-3.95343018e+000, 8.87677002e+000, 1.29773499e+002, 2.31793213e+003
-4.10849762e+000, 8.90261459e+000, 1.29976379e+002, 1.61120605e+003
-1.91038513e+000, 1.09209366e+001, 9.17107010e+001, 8.25313660e+002
-1.75193787e+000, 1.07018166e+001, 9.19674835e+001, 1.15226067e+002
-1.53710938e+000, 1.08205299e+001, 9.17596130e+001, 6.01082825e+002
-1.49247742e+000, 2.31736183e+001, 2.49136612e+002, -4.81039520e+002
-1.33359528e+000, 2.30309715e+001, 2.49048035e+002, -1.11360156e+003
-1.58119965e+000, 2.28883934e+001, 2.49035629e+002, -3.24947266e+002
-1.61941528e+000, 2.34865036e+001, 2.49035660e+002, 5.38330078e+002
-1.48840332e+000, 2.34342232e+001, 2.48807358e+002, 2.69765839e+002
-1.79180145e+000, 1.97452221e+001, 2.45317810e+002, -1.20052515e+003
-2.02496338e+000, 1.95411987e+001, 2.45168243e+002, -1.31930042e+003
-1.96572113e+000, 2.01076794e+001, 2.45411240e+002, -4.33475525e+002
-2.43348694e+000, 1.92252903e+001, 2.19749756e+002, 2.58690704e+002
-2.51663971e+000, 1.87531986e+001, 2.19986450e+002, 1.33126770e+002
-2.64612579e+000, 1.89456902e+001, 2.20058929e+002, 4.53381104e+002
3.67313385e+000, 9.30856323e+000, 2.21739365e+002, -3.02863281e+002
3.56604004e+000, 9.58071899e+000, 2.21993134e+002, 5.04554482e+001
3.60790253e+000, 9.85297012e+000, 2.21553406e+002, -2.15894279e+001
3.70222473e+000, 8.99109650e+000, 2.21936279e+002, -8.77050323e+001
3.67466736e+000, 9.22666550e+000, 2.21937073e+002, 7.49357605e+001
3.53601837e+000, 8.98790359e+000, 2.22165146e+002, 2.75580463e+001
3.17348480e+000, 9.60728455e+000, 2.21989807e+002, 4.25235107e+002
-2.67435455e+000, 1.50665054e+001, 2.40789444e+002, 8.54300781e+002
-2.52877808e+000, 1.47952766e+001, 2.40994476e+002, 4.36450806e+001
-2.73002625e+000, 1.44740257e+001, 2.40962067e+002, 5.41642700e+002
-2.28154755e+000, 1.46191254e+001, 2.40978653e+002, 2.05297318e+002
-2.44585419e+000, 1.45362549e+001, 2.41067245e+002, -1.27531830e+002
-3.40633392e+000, 8.28125000e+000, 2.39935928e+002, 1.03137341e+003
-3.25041199e+000, 8.15367126e+000, 2.39738785e+002, 1.26725732e+003
3.73497009e+000, 5.34543991e+000, 2.38811432e+002, -1.30871057e+003
